rec_art,onrp,bfsnr,plz_typ,postleitzahl,plz_zz,plz6,gplz,ortbez18,ortbez27,kanton,sprachcode,sprachcode_abw,briefz_durch,gilt_ab_dat,plz_briefzust,plz_coff
1,4977,120,10,8637,0,863700,8637,Laupen ZH,Laupen ZH,ZH,1,,7278,09.11.92,863660,J
1,4978,3342,10,8638,0,863800,8638,Goldingen,Goldingen,SG,1,,7278,21.05.86,863660,J
1,4987,161,20,8702,0,870200,8702,Zollikon,Zollikon,ZH,1,,7242,14.10.99,870060,J
1,4991,152,10,8704,0,870400,8704,Herrliberg,Herrliberg,ZH,1,,7247,21.05.86,870660,J
1,5009,3342,10,8732,0,873200,8732,Neuhaus SG,Neuhaus SG,SG,1,,5000,16.10.98,871600,J
1,5015,3341,20,8738,0,873800,8738,Uetliburg SG,Uetliburg SG,SG,1,,7700,21.05.86,873060,J
1,5016,3341,10,8739,0,873900,8739,Rieden SG,Rieden SG,SG,1,,7700,21.05.86,873060,J
1,5023,1630,10,8752,0,875200,8752,Näfels,Näfels,GL,1,,5100,04.03.96,886700,J
1,5026,1632,10,8754,0,875400,8754,Netstal,Netstal,GL,1,,5027,04.03.96,875500,J
1,5042,1631,20,8775,2,877502,8775,Hätzingen,Hätzingen,GL,1,,8110,04.03.96,876260,J
1,5053,138,10,8805,0,880500,8805,Richterswil,Richterswil,ZH,1,,7277,21.05.86,882060,J
1,5055,1322,20,8806,0,880600,8806,Bäch SZ,Bäch SZ,SZ,1,,7277,06.08.96,882060,J
1,5057,1322,10,8808,0,880800,8808,Pfäffikon SZ,Pfäffikon SZ,SZ,1,,7701,06.08.96,880860,J
1,5067,293,20,8825,0,882500,8825,Hütten,Hütten,ZH,1,,7277,01.10.00,882060,J
1,5070,1321,10,8834,0,883400,8834,Schindellegi,Schindellegi,SZ,1,,7703,21.05.86,884060,J
1,5079,1301,20,8847,0,884700,8847,Egg SZ,Egg SZ,SZ,1,,7703,29.05.88,884060,J
1,5081,1301,10,8844,0,884400,8844,Euthal,Euthal,SZ,1,,7703,29.05.88,884060,J
1,5102,3316,10,8872,0,887200,8872,Weesen,Weesen,SG,1,,5100,05.08.96,886700,J
1,5141,2,10,8910,0,891000,8910,Affoltern am Albis,Affoltern am Albis,ZH,1,,7222,02.08.96,891060,J
1,5148,4,10,8915,0,891500,8915,Hausen am Albis,Hausen am Albis,ZH,1,,5148,01.03.88,891500,J
1,5152,4079,20,8918,0,891800,8918,Unterlunkhofen,Unterlunkhofen,AG,1,,7222,18.05.99,891060,J
1,5154,4,20,8925,0,892500,8925,Ebertswil,Ebertswil,ZH,1,,5148,13.08.01,891500,J
1,5157,8,20,8933,0,893300,8933,Maschwanden,Maschwanden,ZH,1,,7222,13.08.01,891060,J
1,5158,7,20,8934,0,893400,8934,Knonau,Knonau,ZH,1,,7222,21.05.86,891060,J
1,5159,137,10,8942,0,894200,8942,Oberrieden,Oberrieden,ZH,1,,7277,21.05.86,882060,J
1,5171,4030,20,8956,0,895600,8956,Killwangen,Killwangen,AG,1,,7194,03.06.94,895760,J
1,5189,3203,20,9000,0,900000,9000,St. Gallen,St. Gallen,SG,1,,6519,01.03.88,901460,J
