"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_345678","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=4.499"
"... Sex#M","32736","0.476","32684","0.476","32532","0.474","32434","0.475","32797","0.475","32922","0.478","32972","0.478",""
"... Sex#W","36010","0.524","35945","0.524","36141","0.526","35887","0.525","36251","0.525","35932","0.522","36014","0.522",""
"zivilstand","","","","","","","","","","","","","","","X2=54.048"
"... (null)","3","0","3","0","4","0","4","0","2","0","3","0","4","0",""
"... Civil stat#G","239","0.003","262","0.004","225","0.003","240","0.004","256","0.004","227","0.003","262","0.004",""
"... Civil stat#GGP","31","0","36","0.001","39","0.001","38","0.001","28","0","36","0.001","36","0.001",""
"... Civil stat#GPS","74","0.001","47","0.001","54","0.001","56","0.001","57","0.001","62","0.001","54","0.001",""
"... Civil stat#GRP","0","0","1","0","0","0","0","0","1","0","1","0","1","0",""
"... Civil stat#GTP","2","0","4","0","4","0","1","0","3","0","1","0","5","0",""
"... Civil stat#H","20387","0.297","19914","0.29","20107","0.293","20222","0.296","20188","0.292","20175","0.293","20414","0.296",""
"... Civil stat#L","37913","0.551","38226","0.557","38127","0.555","37713","0.552","38225","0.554","38188","0.555","37918","0.55",""
"... Civil stat#S","7150","0.104","7099","0.103","7117","0.104","7124","0.104","7332","0.106","7134","0.104","7330","0.106",""
"... Civil stat#U","4","0","1","0","0","0","2","0","3","0","1","0","1","0",""
"... Civil stat#W","2943","0.043","3036","0.044","2996","0.044","2921","0.043","2953","0.043","3026","0.044","2961","0.043",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=29.509"
"... (null)","48912","0.711","48957","0.713","49111","0.715","48679","0.713","49248","0.713","48994","0.712","49118","0.712",""
"... CHResidenc#A","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... CHResidenc#B","4944","0.072","4816","0.07","4882","0.071","4901","0.072","4927","0.071","4918","0.071","5013","0.073",""
"... CHResidenc#C","14689","0.214","14676","0.214","14481","0.211","14525","0.213","14688","0.213","14773","0.215","14651","0.212",""
"... CHResidenc#D","0","0","1","0","1","0","0","0","0","0","0","0","1","0",""
"... CHResidenc#F","163","0.002","146","0.002","155","0.002","170","0.002","141","0.002","134","0.002","161","0.002",""
"... CHResidenc#G","3","0","4","0","4","0","4","0","5","0","5","0","5","0",""
"... CHResidenc#L","33","0","26","0","36","0.001","40","0.001","35","0.001","28","0","33","0",""
"... CHResidenc#N","2","0","3","0","2","0","2","0","4","0","2","0","3","0",""
"hh_size","","","","","","","","","","","","","","","X2=83.343"
"... 1","31609","0.46","32052","0.467","31901","0.465","31517","0.461","32213","0.467","32102","0.466","31977","0.464",""
"... 2","10757","0.156","10526","0.153","10642","0.155","10635","0.156","10756","0.156","10623","0.154","10676","0.155",""
"... 3","8660","0.126","8707","0.127","8639","0.126","8637","0.126","8629","0.125","8658","0.126","8598","0.125",""
"... 4","11116","0.162","10945","0.159","11141","0.162","11044","0.162","11189","0.162","11040","0.16","11192","0.162",""
"... 5","5009","0.073","4851","0.071","4833","0.07","4959","0.073","4766","0.069","4859","0.071","5006","0.073",""
"... 6","1190","0.017","1101","0.016","1135","0.017","1152","0.017","1108","0.016","1201","0.017","1122","0.016",""
"... 7","265","0.004","275","0.004","250","0.004","216","0.003","246","0.004","230","0.003","276","0.004",""
"... 8","61","0.001","77","0.001","66","0.001","77","0.001","69","0.001","79","0.001","76","0.001",""
"... 9","29","0","37","0.001","26","0","34","0","30","0","22","0","30","0",""
"... 10","18","0","14","0","15","0","21","0","14","0","17","0","16","0",""
"... 11","13","0","26","0","12","0","14","0","17","0","12","0","10","0",""
"... 12","14","0","12","0","9","0","13","0","10","0","8","0","3","0",""
"... 13","5","0","6","0","4","0","2","0","1","0","3","0","4","0",""
"hasel","","","","","","","","","","","","","","","X2=9.912"
"... (null)","47257","0.687","46950","0.684","46983","0.684","47071","0.689","47325","0.685","47093","0.684","47313","0.686",""
"... 0","12272","0.179","12494","0.182","12420","0.181","12115","0.177","12466","0.181","12536","0.182","12457","0.181",""
"... 1","9217","0.134","9185","0.134","9270","0.135","9135","0.134","9257","0.134","9225","0.134","9216","0.134",""
"hassh","","","","","","","","","","","","","","","X2=15.066"
"... (null)","18621","0.271","18511","0.27","18526","0.27","18636","0.273","18473","0.268","18536","0.269","18410","0.267",""
"... 0","44561","0.648","44486","0.648","44504","0.648","44202","0.647","44954","0.651","44541","0.647","44959","0.652",""
"... 1","5564","0.081","5632","0.082","5643","0.082","5483","0.08","5621","0.081","5777","0.084","5617","0.081",""
"income_bucket","","","","","","","","","","","","","","","X2=21.385"
"... none","9735","0.352","9804","0.353","9735","0.351","9637","0.351","9968","0.353","9785","0.35","9788","0.348",""
"... <20'000","9441","0.341","9618","0.346","9676","0.349","9443","0.344","9694","0.344","9646","0.345","9744","0.347",""
"... 20'-40'000","4966","0.179","4903","0.177","4929","0.178","4932","0.18","5060","0.179","5136","0.184","5013","0.178",""
"... 40-60'000","2504","0.09","2472","0.089","2415","0.087","2459","0.09","2519","0.089","2401","0.086","2565","0.091",""
"... 60'-80'000","1034","0.037","976","0.035","945","0.034","987","0.036","972","0.034","985","0.035","981","0.035",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=17.228"
"... none","36170","0.526","35842","0.522","36117","0.526","35825","0.524","36110","0.523","36090","0.524","36326","0.527",""
"... <20'000","13367","0.194","13372","0.195","13405","0.195","13436","0.197","13587","0.197","13520","0.196","13424","0.195",""
"... 20'-40'000","4777","0.069","4789","0.07","4646","0.068","4695","0.069","4764","0.069","4752","0.069","4721","0.068",""
"... 40-60'000","2942","0.043","2976","0.043","3025","0.044","2997","0.044","3076","0.045","2970","0.043","3074","0.045",""
"... 60'-80'000","2177","0.032","2213","0.032","2193","0.032","2174","0.032","2161","0.031","2183","0.032","2124","0.031",""
"... >80'000","9313","0.135","9437","0.138","9287","0.135","9194","0.135","9350","0.135","9339","0.136","9317","0.135",""
"plz4","","","","","","","","","","","","","","","X2=3612.437"
"... 0000","0","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 0101","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0169","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0630","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 0650","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 0775","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1000","0","0","2","0","0","0","1","0","1","0","1","0","0","0",""
"... 1010","3","0","1","0","1","0","0","0","0","0","2","0","1","0",""
"... 1020","2","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 1023","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1030","1","0","0","0","1","0","1","0","0","0","0","0","1","0",""
"... 1052","2","0","2","0","0","0","1","0","1","0","0","0","2","0",""
"... 1060","0","0","0","0","1","0","0","0","0","0","0","0","1","0",""
"... 1070","0","0","1","0","0","0","1","0","0","0","0","0","0","0",""
"... 1074","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1078","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1081","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1090","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... 1120","0","0","0","0","0","0","0","0","0","0","1","0","2","0",""
"... 1122","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1133","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1147","0","0","2","0","0","0","2","0","1","0","0","0","1","0",""
"... 1157","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1160","0","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 1170","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 1180","0","0","1","0","1","0","0","0","0","0","3","0","1","0",""
"... 1200","1","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 1210","1","0","0","0","0","0","0","0","1","0","1","0","0","0",""
"... 1213","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1214","3","0","6","0","1","0","0","0","2","0","2","0","2","0",""
"... 1220","0","0","0","0","0","0","0","0","3","0","1","0","0","0",""
"... 1230","2","0","1","0","0","0","0","0","1","0","3","0","2","0",""
"... 1238","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 1300","0","0","0","0","0","0","2","0","0","0","0","0","1","0",""
"... 1307","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1356","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1361","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1432","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1447","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1612","1","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1800","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1801","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2000","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2007","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2018","0","0","1","0","1","0","0","0","1","0","0","0","0","0",""
"... 2050","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2100","0","0","0","0","0","0","1","0","1","0","0","0","0","0",""
"... 2200","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 2231","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2257","1","0","0","0","0","0","1","0","0","0","2","0","0","0",""
"... 2300","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 2307","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2324","1","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 2351","1","0","0","0","0","0","0","0","3","0","1","0","1","0",""
"... 2420","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 2500","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2510","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 2750","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3000","0","0","1","0","1","0","0","0","2","0","0","0","2","0",""
"... 3020","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 3040","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 3121","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 3177","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3215","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 3332","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 3360","1","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 3378","2","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 3460","0","0","0","0","0","0","0","0","0","0","2","0","0","0",""
"... 3530","1","0","0","0","2","0","0","0","0","0","2","0","0","0",""
"... 3660","0","0","2","0","1","0","0","0","0","0","2","0","1","0",""
"... 3700","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 3762","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 3800","3","0","2","0","0","0","2","0","1","0","1","0","1","0",""
"... 4000","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
