"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"mod_456789","0","","1","","2","","3","","4","","5","","6","",""
"geschlecht","","","","","","","","","","","","","","","X2=6.312"
"... Sex#M","32546","0.477","32888","0.476","32957","0.479","32779","0.477","32759","0.473","32483","0.475","32665","0.475",""
"... Sex#W","35749","0.523","36229","0.524","35804","0.521","35934","0.523","36498","0.527","35914","0.525","36052","0.525",""
"zivilstand","","","","","","","","","","","","","","","X2=69.728"
"... (null)","4","0","2","0","3","0","5","0","3","0","4","0","2","0",""
"... Civil stat#G","278","0.004","247","0.004","240","0.003","273","0.004","228","0.003","207","0.003","238","0.003",""
"... Civil stat#GGP","25","0","40","0.001","44","0.001","34","0","22","0","44","0.001","35","0.001",""
"... Civil stat#GPS","58","0.001","64","0.001","56","0.001","50","0.001","64","0.001","60","0.001","52","0.001",""
"... Civil stat#GRP","0","0","1","0","0","0","1","0","0","0","1","0","1","0",""
"... Civil stat#GTP","2","0","2","0","2","0","5","0","3","0","2","0","4","0",""
"... Civil stat#H","19801","0.29","20219","0.293","20455","0.297","19984","0.291","20556","0.297","20306","0.297","20086","0.292",""
"... Civil stat#L","37973","0.556","38432","0.556","37881","0.551","38124","0.555","38128","0.551","37687","0.551","38085","0.554",""
"... Civil stat#S","7199","0.105","7133","0.103","7150","0.104","7325","0.107","7179","0.104","7097","0.104","7203","0.105",""
"... Civil stat#U","2","0","2","0","1","0","2","0","2","0","2","0","1","0",""
"... Civil stat#W","2953","0.043","2975","0.043","2929","0.043","2910","0.042","3072","0.044","2987","0.044","3010","0.044",""
"aufenthaltsbewilligung","","","","","","","","","","","","","","","X2=39.068"
"... (null)","48676","0.713","49419","0.715","48974","0.712","49071","0.714","49328","0.712","48770","0.713","48781","0.71",""
"... CHResidenc#A","0","0","0","0","1","0","1","0","0","0","0","0","0","0",""
"... CHResidenc#B","4897","0.072","4927","0.071","5003","0.073","4843","0.07","4945","0.071","4894","0.072","4892","0.071",""
"... CHResidenc#C","14538","0.213","14594","0.211","14590","0.212","14587","0.212","14794","0.214","14549","0.213","14831","0.216",""
"... CHResidenc#D","0","0","0","0","1","0","1","0","0","0","0","0","1","0",""
"... CHResidenc#F","147","0.002","139","0.002","143","0.002","169","0.002","152","0.002","142","0.002","178","0.003",""
"... CHResidenc#G","6","0","4","0","8","0","4","0","4","0","2","0","2","0",""
"... CHResidenc#L","27","0","33","0","37","0.001","34","0","31","0","38","0.001","31","0",""
"... CHResidenc#N","4","0","1","0","4","0","3","0","3","0","2","0","1","0",""
"hh_size","","","","","","","","","","","","","","","X2=87.729"
"... 1","32159","0.471","32025","0.463","31786","0.462","31768","0.462","32254","0.466","31488","0.46","31891","0.464",""
"... 2","10386","0.152","10648","0.154","10728","0.156","10733","0.156","10824","0.156","10753","0.157","10543","0.153",""
"... 3","8461","0.124","8678","0.126","8674","0.126","8784","0.128","8597","0.124","8762","0.128","8572","0.125",""
"... 4","11040","0.162","11183","0.162","11058","0.161","11039","0.161","11157","0.161","11043","0.161","11147","0.162",""
"... 5","4763","0.07","4986","0.072","4946","0.072","4849","0.071","4887","0.071","4850","0.071","5002","0.073",""
"... 6","1120","0.016","1166","0.017","1152","0.017","1145","0.017","1149","0.017","1074","0.016","1203","0.018",""
"... 7","234","0.003","290","0.004","249","0.004","232","0.003","244","0.004","264","0.004","245","0.004",""
"... 8","68","0.001","66","0.001","78","0.001","82","0.001","67","0.001","83","0.001","61","0.001",""
"... 9","16","0","31","0","35","0.001","38","0.001","25","0","35","0.001","28","0",""
"... 10","19","0","16","0","24","0","15","0","18","0","16","0","7","0",""
"... 11","14","0","15","0","15","0","16","0","19","0","15","0","10","0",""
"... 12","12","0","10","0","12","0","8","0","11","0","10","0","6","0",""
"... 13","3","0","3","0","4","0","4","0","5","0","4","0","2","0",""
"hasel","","","","","","","","","","","","","","","X2=11.707"
"... (null)","46637","0.683","47325","0.685","47071","0.685","47229","0.687","47626","0.688","47030","0.688","47074","0.685",""
"... 0","12522","0.183","12497","0.181","12413","0.181","12242","0.178","12340","0.178","12326","0.18","12420","0.181",""
"... 1","9136","0.134","9295","0.134","9277","0.135","9242","0.135","9291","0.134","9041","0.132","9223","0.134",""
"hassh","","","","","","","","","","","","","","","X2=9.63"
"... (null)","18412","0.27","18451","0.267","18403","0.268","18612","0.271","18647","0.269","18651","0.273","18537","0.27",""
"... 0","44364","0.65","44974","0.651","44737","0.651","44472","0.647","44937","0.649","44124","0.645","44599","0.649",""
"... 1","5519","0.081","5692","0.082","5621","0.082","5629","0.082","5673","0.082","5622","0.082","5581","0.081",""
"income_bucket","","","","","","","","","","","","","","","X2=40.995**"
"... none","9869","0.353","10027","0.359","9589","0.344","9616","0.349","9855","0.348","9727","0.354","9769","0.352",""
"... <20'000","9723","0.348","9556","0.342","9733","0.349","9454","0.343","9778","0.346","9477","0.345","9541","0.344",""
"... 20'-40'000","4816","0.172","4865","0.174","5112","0.183","4982","0.181","5127","0.181","4948","0.18","5089","0.183",""
"... 40-60'000","2545","0.091","2525","0.09","2473","0.089","2474","0.09","2537","0.09","2395","0.087","2386","0.086",""
"... 60'-80'000","1007","0.036","963","0.034","985","0.035","1008","0.037","985","0.035","949","0.035","983","0.035",""
"... >80'000","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"capital_bucket","","","","","","","","","","","","","","","X2=40.484*"
"... none","35817","0.524","36267","0.525","36094","0.525","36112","0.526","36115","0.521","35958","0.526","36117","0.526",""
"... <20'000","13191","0.193","13639","0.197","13673","0.199","13300","0.194","13523","0.195","13304","0.195","13481","0.196",""
"... 20'-40'000","4740","0.069","4807","0.07","4611","0.067","4676","0.068","4910","0.071","4640","0.068","4760","0.069",""
"... 40-60'000","2999","0.044","2938","0.043","3098","0.045","3016","0.044","3050","0.044","2994","0.044","2965","0.043",""
"... 60'-80'000","2147","0.031","2211","0.032","2162","0.031","2142","0.031","2237","0.032","2153","0.031","2173","0.032",""
"... >80'000","9401","0.138","9255","0.134","9123","0.133","9467","0.138","9422","0.136","9348","0.137","9221","0.134",""
"plz4","","","","","","","","","","","","","","","X2=3621.067"
"... 0000","1","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 0101","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 0169","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 0630","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 0650","1","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 0775","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1000","1","0","0","0","2","0","1","0","0","0","0","0","1","0",""
"... 1010","2","0","1","0","0","0","2","0","0","0","2","0","1","0",""
"... 1020","1","0","2","0","1","0","0","0","0","0","0","0","0","0",""
"... 1023","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1030","1","0","0","0","1","0","0","0","0","0","2","0","0","0",""
"... 1052","1","0","1","0","1","0","3","0","1","0","1","0","0","0",""
"... 1060","0","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 1070","1","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1074","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1078","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1081","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 1090","0","0","1","0","0","0","0","0","0","0","0","0","1","0",""
"... 1120","0","0","1","0","0","0","0","0","0","0","2","0","0","0",""
"... 1122","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1133","0","0","0","0","1","0","0","0","0","0","0","0","0","0",""
"... 1147","1","0","1","0","0","0","1","0","1","0","2","0","0","0",""
"... 1157","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1160","0","0","2","0","0","0","1","0","0","0","0","0","0","0",""
"... 1170","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 1180","0","0","2","0","1","0","1","0","0","0","0","0","2","0",""
"... 1200","0","0","0","0","2","0","0","0","2","0","0","0","0","0",""
"... 1210","0","0","0","0","2","0","0","0","0","0","1","0","0","0",""
"... 1213","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1214","2","0","4","0","2","0","2","0","1","0","1","0","4","0",""
"... 1220","1","0","0","0","0","0","1","0","1","0","1","0","0","0",""
"... 1230","0","0","1","0","0","0","1","0","2","0","3","0","2","0",""
"... 1238","0","0","0","0","2","0","0","0","0","0","0","0","0","0",""
"... 1300","0","0","1","0","0","0","1","0","0","0","0","0","1","0",""
"... 1307","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 1356","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1361","0","0","1","0","0","0","0","0","0","0","0","0","0","0",""
"... 1432","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 1447","0","0","0","0","0","0","0","0","0","0","1","0","0","0",""
"... 1612","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 1800","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 1801","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2000","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 2007","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2018","0","0","1","0","0","0","1","0","1","0","0","0","0","0",""
"... 2050","1","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"... 2100","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 2200","0","0","0","0","0","0","1","0","0","0","1","0","0","0",""
"... 2231","0","0","0","0","0","0","1","0","0","0","0","0","0","0",""
"... 2257","0","0","2","0","0","0","0","0","1","0","0","0","1","0",""
"... 2300","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2307","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 2324","0","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 2351","0","0","0","0","1","0","3","0","1","0","0","0","1","0",""
"... 2420","1","0","0","0","0","0","0","0","1","0","0","0","0","0",""
"... 2500","0","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 2510","0","0","0","0","0","0","0","0","0","0","1","0","1","0",""
"... 2750","0","0","0","0","0","0","0","0","1","0","0","0","0","0",""
